Number,Id,Place,Price Range,Types,Address,Postal Code,City,State,Country,Latitude,Longitude
Enchanted Grounds,1,"book_store, cafe, store, food, point_of_interest, establishment",8800 South Colorado Boulevard 80126,80126,Highlands Ranch,Colorado,United States
Little Owl Coffee,2,"cafe, store, food, point_of_interest, establishment",1555 Blake Street 80202,80202,Denver,Colorado,United States
Barnes & Noble,2,"book_store, cafe, store, point_of_interest, food, establishment",2999 Pearl Street 80301,80301,Boulder,Colorado,United States
Starbucks,2,"cafe, food, point_of_interest, store, establishment",1701 California Street 80202,80202,Denver,Colorado,United States
LaMar's Donuts and Coffee,1,"bakery, store, cafe, restaurant, food, point_of_interest, establishment",9940 Wadsworth Parkway 80021,80021,Westminster,Colorado,United States
OZO Coffee | Arapahoe,2,"cafe, food, point_of_interest, store, establishment",5340 Arapahoe Avenue 80303,80303,Boulder,Colorado,United States
Starbucks,2,"cafe, store, restaurant, point_of_interest, food, establishment",3470 Park Avenue West 80216,80216,Denver,Colorado,United States
Starbucks,2,"cafe, store, restaurant, food, point_of_interest, establishment",6395 East Hampden Avenue 80222,80222,Denver,Colorado,United States
Fire Bowl Cafe,1,"cafe, meal_takeaway, restaurant, food, point_of_interest, establishment",11435 East Briarwood Avenue 80112,80112,Englewood,Colorado,United States
303 Coffee Company,1,"cafe, store, food, point_of_interest, establishment",8283 South Akron Street 80112,80112,Centennial,Colorado,United States
Einstein Bros. Bagels,1,"cafe, restaurant, bakery, food, point_of_interest, store, establishment",16495 East 40th Circle 80011,80011,Aurora,Colorado,United States
Starbucks,2,"cafe, store, restaurant, point_of_interest, food, establishment",1416 South Platte River Trail 80202,80202,Denver,Colorado,United States
Starbucks,2,"cafe, restaurant, food, point_of_interest, store, establishment",8745 East Orchard Road 80111,80111,Greenwood Village,Colorado,United States
Panera Bread,2,"cafe, meal_takeaway, bakery, restaurant, food, point_of_interest, store, establishment",4955 South Ulster Street 80237,80237,Denver,Colorado,United States
Walnut Cafe,1,"cafe, restaurant, food, point_of_interest, store, establishment",3073 Walnut Street 80301,80301,Boulder,Colorado,United States
Starbucks,2,"cafe, store, restaurant, point_of_interest, food, establishment",7999 East Arapahoe Road 80111,80111,Greenwood Village,Colorado,United States
Einstein Bros. Bagels,1,"cafe, bakery, store, restaurant, point_of_interest, food, establishment",9392 Sheridan Boulevard 80031,80031,Westminster,Colorado,United States
Place,Price Range,Types,Address,Postal Code,City,State,Country
Hotel Shattuck Plaza,,"cafe, bar, lodging, night_club, restaurant, food, point_of_interest, establishment",2086 Allston Way 94704,94704,Berkeley,California,United States
Zuni Café,3,"cafe, bar, restaurant, food, point_of_interest, establishment",1658 Market Street 94102,94102,San Francisco,California,United States
Chez Panisse,4,"cafe, restaurant, point_of_interest, food, establishment",1517 Shattuck Avenue 94709,94709,Berkeley,California,United States
DNA Lounge,2,"night_club, cafe, bar, restaurant, point_of_interest, food, establishment",375 11th Street 94103,94103,San Francisco,California,United States
Ritual Coffee Roasters,2,"cafe, food, store, point_of_interest, establishment",1026 Valencia Street 94110,94110,San Francisco,California,United States
Sightglass Coffee,2,"cafe, store, food, point_of_interest, establishment",270 7th Street 94103,94103,San Francisco,California,United States
Oakland Museum of California,,"museum, cafe, park, food, point_of_interest, establishment",1000 Oak Street 94607,94607,Oakland,California,United States
edmonds cafe,1,"cafe, point_of_interest, food, establishment",2299 Piedmont Avenue 94720,94720,Berkeley,California,United States
Four Barrel Coffee,2,"cafe, point_of_interest, food, store, establishment",375 Valencia Street 94103,94103,San Francisco,California,United States
El Rio,1,"bar, cafe, food, point_of_interest, establishment",3158 Mission Street 94110,94110,San Francisco,California,United States
Ocean View Inn,,"cafe, lodging, point_of_interest, food, establishment",8425 Cabrillo Highway 94037,94037,Montara,California,United States
Awaken Cafe & Roasting,2,"art_gallery, cafe, bar, store, restaurant, food, point_of_interest, establishment",1429 Broadway 94612,94612,Oakland,California,United States
Tully's Coffee,,"cafe, store, food, point_of_interest, establishment",425 Market Street 94105,94105,San Francisco,California,United States
