Number,Id,Place,Price Range,Category,Types,Address,Postal Code,City,State,Country,Latitude,Longitude
42,ChIJ-zhtDYeAhYAREh_HF8J91xQ,Metreon,,shopping_mall,"shopping_mall, point_of_interest, establishment","135 4th St, San Francisco, CA 94103, USA 94103",94103,San Francisco,California,United States,37.7843056,-122.403389
43,ChIJHSGzi_yAhYARnrPmDWAx9ro,PIER 39,,shopping_mall,"tourist_attraction, shopping_mall, point_of_interest, establishment","The Embarcadero, San Francisco, CA 94133, USA 94133",94133,San Francisco,California,United States,37.808673,-122.409821
44,ChIJdYut3AKfj4ARvzOZtYDyWMo,Hillsdale Shopping Center,,shopping_mall,"shopping_mall, point_of_interest, establishment","60 31st Ave, San Mateo, CA 94403, USA 94403",94403,San Mateo,California,United States,37.5378764,-122.300907
45,ChIJQ87gTrp9j4AR60rA_fO2ef0,Stonestown Galleria,,shopping_mall,"shopping_mall, point_of_interest, establishment","3251 20th Ave, San Francisco, CA 94132, USA 94132",94132,San Francisco,California,United States,37.7280313,-122.477088
46,ChIJG4kUEWGAhYARtQwQFYlJCio,Embarcadero Center,,shopping_mall,"shopping_mall, point_of_interest, establishment","2 Embarcadero Ctr, San Francisco, CA 94111, USA 94111",94111,San Francisco,California,United States,37.7948429,-122.3984798
47,ChIJOXaCcTS7j4AR1Hjo8LCVWAc,Stanford Shopping Center,,shopping_mall,"shopping_mall, point_of_interest, establishment","660 Stanford Shopping Center, Palo Alto, CA 94304, USA 94304",94304,Palo Alto,California,United States,37.44347210000001,-122.1712923
48,ChIJtRURAEeRj4ARxcd4BPIcEwc,Southland Mall,,shopping_mall,"shopping_mall, point_of_interest, establishment","One Southland Mall, Hayward, CA 94545, USA 94545",94545,Hayward,California,United States,37.6511869,-122.1021994
49,ChIJWZA4OfXrj4ARiBChLXIk2CI,Stoneridge Shopping Center,,shopping_mall,"shopping_mall, point_of_interest, establishment","1 Stoneridge Mall Rd, Pleasanton, CA 94588, USA 94588",94588,Pleasanton,California,United States,37.6952657,-121.9288449
50,ChIJiRfJ-MJhhYARdBbJGD6OpWg,Broadway Plaza,,shopping_mall,"shopping_mall, clothing_store, restaurant, food, point_of_interest, store, establishment","1275 Broadway Plaza, Walnut Creek, CA 94596, USA 94596",94596,Walnut Creek,California,United States,37.8958235,-122.0574966
51,ChIJcROz_crOj4AR3blv_XtAWJM,Great Mall,,shopping_mall,"shopping_mall, point_of_interest, establishment","447 Great Mall Dr, Milpitas, CA 95035, USA 95035",95035,Milpitas,California,United States,37.415738,-121.897412
52,ChIJq-Dg-zt444kRuM2iph02c00,San Francisco Premium Outlets,,shopping_mall,"shopping_mall, point_of_interest, establishment","2774 Livermore Outlets Dr, Livermore, CA 94551, USA 94551",94551,Livermore,California,United States,37.6987272,-121.8440481
53,ChIJcYg4F9zjkYARnBBANOvJy-U,Gilroy Premium Outlets,,shopping_mall,"shopping_mall, point_of_interest, establishment","681 Leavesley Rd, Gilroy, CA 95020, USA 95020",95020,Gilroy,California,United States,37.02518299999999,-121.5644706
54,ChIJKbQHeyDLj4ARDY5fLdwueaM,Santana Row,2,shopping_mall,"shopping_mall, point_of_interest, establishment","377 Santana Row, San Jose, CA 95128, USA 95128",95128,San Jose,California,United States,37.3204835,-121.947858
55,ChIJgVfIiFC_j4ARLYEcjgbnPEk,NewPark,,shopping_mall,"shopping_mall, point_of_interest, establishment","2086 Newpark Mall Rd, Newark, CA 94560, USA 94560",94560,Newark,California,United States,37.5262467,-122.0007545
56,ChIJxQaqfVa1j4ARGwBNHjy2ldQ,Westgate Center,,shopping_mall,"shopping_mall, point_of_interest, establishment","1600 Saratoga Ave, San Jose, CA 95129, USA 95129",95129,San Jose,California,United States,37.2923806,-121.9887833
57,ChIJjUmd4NUzjoAR_CGjv4ZrHJY,Westfield Oakridge,,shopping_mall,"shopping_mall, point_of_interest, establishment","925 Blossom Hill Rd, San Jose, CA 95123, USA 95123",95123,San Jose,California,United States,37.2512044,-121.8624553
58,ChIJA9GkYsI0joAR5lxjCF1qC9o,Pruneyard Shopping Center,,shopping_mall,"shopping_mall, point_of_interest, establishment","1875 S Bascom Ave, Campbell, CA 95008, USA 95008",95008,Campbell,California,United States,37.28762010000001,-121.9325423
59,ChIJzVyz7yrNj4ARuGvOUoh75MM,Grand Century Shopping Mall,,shopping_mall,"shopping_mall, point_of_interest, establishment","1111 Story Rd, San Jose, CA 95122, USA 95122",95122,San Jose,California,United States,37.3334333,-121.8568278
60,ChIJoSoALZmwj4AR0AeUKF4goUY,San Antonio Center,,shopping_mall,"shopping_mall, point_of_interest, establishment","2550 W El Camino Real, Mountain View, CA 94040, USA 94040",94040,Mountain View,California,United States,37.4034613,-122.108281
