Place_id,Place,Price Range,Types,Address,Postal Code,City,State,Country,Latitude,Longitude
ChIJAb1AobZqkFQRKKLc9KTrh4c,"Crowne Plaza Seattle-Downtown, an IHG Hotel",4,"lodging, point_of_interest, establishment","1113 6th Ave, Seattle, WA 98101, USA",98101,Seattle,Washington,United States,47.6082077,-122.3321124
ChIJvYvFsLFqkFQRPF48-leg-gc,"Hotel 1000, LXR Hotels & Resorts",,"lodging, point_of_interest, establishment","1000 1st Ave, Seattle, WA 98104, USA",98104,Seattle,Washington,United States,47.60505329999999,-122.3361194
ChIJcRowyrFqkFQRB8nWycTD-mE,The Alexis Royal Sonesta Hotel Seattle,4,"lodging, point_of_interest, establishment","1007 1st Ave, Seattle, WA 98104, USA",98104,Seattle,Washington,United States,47.60480949999999,-122.3368555
ChIJ9dZeFrRqkFQRF14LSyO4FUw,Hilton Seattle,,"lodging, point_of_interest, establishment","1301 6th Ave, Seattle, WA 98101, USA",98101,Seattle,Washington,United States,47.60917399999999,-122.3331396
ChIJVTPokywQkFQRmtVEaUZlJRA,Seattle,,"locality, political","Seattle, WA, USA",,Seattle,Washington,United States,47.6061389,-122.3328481
ChIJf3uV-rNqkFQRmkmlotz3KN0,Fairmont Olympic Hotel - Seattle,4,"lodging, bar, point_of_interest, establishment","411 University St, Seattle, WA 98101, USA",98101,Seattle,Washington,United States,47.6080126,-122.3338701
ChIJYdpET7FqkFQRG7EKuXswzmg,Executive Hotel Pacific,,"lodging, point_of_interest, establishment","400 Spring St, Seattle, WA 98104, USA",98104,Seattle,Washington,United States,47.6070892,-122.333406
ChIJQXeJQ7FqkFQRwlNZ4OS87bs,Kimpton Hotel Monaco Seattle,3,"lodging, point_of_interest, establishment","1101 4th Ave, Seattle, WA 98101, USA",98101,Seattle,Washington,United States,47.6068879,-122.3341301
ChIJJ6iYtLZqkFQRGEtPwzzHb48,Kimpton Hotel Vintage Seattle,4,"travel_agency, lodging, restaurant, food, point_of_interest, establishment","1100 5th Ave, Seattle, WA 98101, USA",98101,Seattle,Washington,United States,47.607606,-122.3325934
ChIJmZ0LzrZqkFQRvUd2Te2zZOA,Renaissance Seattle Hotel,,"lodging, point_of_interest, establishment","515 Madison St, Seattle, WA 98104, USA",98104,Seattle,Washington,United States,47.6066675,-122.3306848
ChIJAb1AobZqkFQRKKLc9KTrh4c,"Crowne Plaza Seattle-Downtown, an IHG Hotel",4,"lodging, point_of_interest, establishment","1113 6th Ave, Seattle, WA 98101, USA",98101,Seattle,Washington,United States,47.6082077,-122.3321124
ChIJvYvFsLFqkFQRPF48-leg-gc,"Hotel 1000, LXR Hotels & Resorts",,"lodging, point_of_interest, establishment","1000 1st Ave, Seattle, WA 98104, USA",98104,Seattle,Washington,United States,47.60505329999999,-122.3361194
ChIJcRowyrFqkFQRB8nWycTD-mE,The Alexis Royal Sonesta Hotel Seattle,4,"lodging, point_of_interest, establishment","1007 1st Ave, Seattle, WA 98104, USA",98104,Seattle,Washington,United States,47.60480949999999,-122.3368555
ChIJ9dZeFrRqkFQRF14LSyO4FUw,Hilton Seattle,,"lodging, point_of_interest, establishment","1301 6th Ave, Seattle, WA 98101, USA",98101,Seattle,Washington,United States,47.60917399999999,-122.3331396
ChIJ9T_5iuTKj4ARe3GfygqMnbk,San Jose,,"locality, political","San Jose, CA, USA",,San Jose,California,United States,37.33874,-121.8852525
ChIJqZitiLrMj4ARGTbRPXeLFgE,The Westin San Jose,,"lodging, point_of_interest, establishment","302 S Market St, San Jose, CA 95113, USA",95113,San Jose,California,United States,37.3309547,-121.8875223
ChIJF4TqnLrMj4ARnszKX0i_6QM,San Jose Marriott,,"lodging, point_of_interest, establishment","301 S Market St, San Jose, CA 95113, USA",95113,San Jose,California,United States,37.3303789,-121.8882895
ChIJVSkbwKPMj4ARVqNJC8J8ftY,Hotel De Anza - Destination by Hyatt,,"lodging, clothing_store, store, point_of_interest, establishment","233 W Santa Clara St, San Jose, CA 95113, USA",95113,San Jose,California,United States,37.3344156,-121.8950487
ChIJdYOsXKXMj4ARThVgcWWybKM,Hyatt Place San Jose/Downtown,,"lodging, point_of_interest, establishment","282 S Almaden Blvd, San Jose, CA 95113, USA",95113,San Jose,California,United States,37.3299726,-121.8910359
ChIJwTUa-q_Mj4ARff4yludGH-M,Hilton San Jose,,"lodging, point_of_interest, establishment","300 S Almaden Ave, San Jose, CA 95110, USA",95110,San Jose,California,United States,37.329303,-121.8905809
ChIJJ0cqYF7Lj4ARTSvJOUW51N0,The Arena Hotel,,"lodging, point_of_interest, establishment","817 The Alameda, San Jose, CA 95126, USA",95126,San Jose,California,United States,37.3320513,-121.9062877
ChIJaYsDJY_Lj4ARtWWXW6qkYNE,Four Points by Sheraton San Jose Airport,,"lodging, point_of_interest, establishment","1471 N 4th St, San Jose, CA 95112, USA",95112,San Jose,California,United States,37.3646957,-121.9082099
ChIJAw7hX7zMj4ARtFk7yvRc7LQ,San Jose Downtown Historic District,,"lodging, point_of_interest, establishment","San Jose, CA 95112, USA",95112,San Jose,California,United States,37.3369684,-121.8881193
ChIJf3Rp6pPLj4ARV_ZqG8IhgSE,Sonesta Select San Jose Airport,,"lodging, point_of_interest, establishment","1727 Technology Dr, San Jose, CA 95110, USA",95110,San Jose,California,United States,37.3651213,-121.9185915
ChIJOwg_06VPwokRYv534QaPC8g,New York,,"locality, political","New York, NY, USA",,New York,New York,United States,40.7127753,-74.0059728
ChIJ7UBKbh9awokRsLNXAfxLoHs,Sonder Duane Street,,"lodging, point_of_interest, establishment","130 Duane St, New York, NY 10013, USA",10013,New York,New York,United States,40.7159471,-74.0073669
ChIJ_1qwJx9awokRl0bFrNhhRBs,Smyth Tribeca,3,"lodging, point_of_interest, establishment","85 W Broadway, New York, NY 10007, USA",10007,New York,New York,United States,40.715222,-74.009045
ChIJYSjtGB9awokRvtwfGw4UEpc,The Frederick Hotel,,"restaurant, lodging, food, bar, point_of_interest, establishment","95 W Broadway, New York, NY 10007, USA",10007,New York,New York,United States,40.7156143,-74.00896709999999
ChIJh-L3uxlawokRDwLmkKwLIvY,Millennium Downtown New York,,"lodging, point_of_interest, establishment","55 Church St, New York, NY 10007, USA",10007,New York,New York,United States,40.71111399999999,-74.010333
ChIJPTJohhdawokR5-M2cwZ2WDo,"Holiday Inn New York City - Wall Street, an IHG Hotel",,"lodging, point_of_interest, establishment","51 Nassau St, New York, NY 10038, USA",10038,New York,New York,United States,40.70897670000001,-74.0091231
